,state,participation17,composite17
0,National, 60%,21.0
1,Alabama,100%,19.2
2,Alaska,65%,19.8
3,Arizona,62%,19.7
4,Arkansas,100%,19.4
5,California,31%,22.8
6,Colorado,100%,20.8
7,Connecticut,31%,25.2
8,Delaware,18%,24.1
9,District of Columbia,32%,24.2
10,Florida,73%,19.8
11,Georgia,55%,21.4
12,Hawaii,90%,19.0
13,Idaho,38%,22.3
14,Illinois,93%,21.4
15,Indiana,35%,22.6
16,Iowa,67%,21.9
17,Kansas,73%,21.7
18,Kentucky,100%,20.0
19,Louisiana,100%,19.5
20,Maine,8%,24.3
21,Maryland,28%,23.6
22,Massachusetts,29%,25.4
23,Michigan,29%,24.1
24,Minnesota,100%,21.5
25,Mississippi,100%,18.6
26,Missouri,100%,20.4
27,Montana,100%,20.3
28,Nebraska,84%,21.4
29,Nevada,100%,17.8
30,New Hampshire,18%,25.5
31,New Jersey,34%,23.9
32,New Mexico,66%,19.7
33,New York,31%,24.2
34,North Carolina,100%,19.1
35,North Dakota,98%,20.3
36,Ohio,75%,22.0
37,Oklahoma,100%,19.4
38,Oregon,40%,21.8
39,Pennsylvania,23%,23.7
40,Rhode Island,21%,24.0
41,South Carolina,100%,18.7
42,South Dakota,80%,21.8
43,Tennessee,100%,19.8
44,Texas,45%,20.7
45,Utah,100%,20.3
46,Vermont,29%,23.6
47,Virginia,29%,23.8
48,Washington,29%,21.9
49,West Virginia,69%,20.4
50,Wisconsin,100%,20.5
51,Wyoming,100%,20.2x
