,state,participation19,ebrw19,math19,total19
0,Alabama,7%,583,560,1143
1,Alaska,41%,556,541,1097
2,Arizona,31%,569,565,1134
3,Arkansas,6%,582,559,1141
4,California,63%,534,531,1065
5,Colorado,100%,518,506,1024
6,Connecticut,100%,529,516,1046
7,Delaware,100%,499,486,985
8,District of Columbia,94%,495,480,975
9,Florida,100%,516,483,999
10,Georgia,71%,538,519,1058
11,Hawaii,54%,550,550,1100
12,Idaho,100%,505,488,993
13,Illinois,100%,509,504,1013
14,Indiana,66%,543,537,1080
15,Iowa,3%,622,622,1244
16,Kansas,4%,618,623,1241
17,Kentucky,4%,620,612,1232
18,Louisiana,5%,610,591,1200
19,Maine,99%,512,502,1013
20,Maryland,82%,535,523,1058
21,Massachusetts,81%,559,561,1120
22,Michigan,100%,507,496,1003
23,Minnesota,4%,636,648,1284
24,Mississippi,3%,628,608,1237
25,Missouri,4%,622,615,1236
26,Montana,9%,603,596,1199
27,Nebraska,3%,628,631,1260
28,Nevada,20%,580,576,1156
29,New Hampshire,95%,533,526,1059
30,New Jersey,82%,544,545,1090
31,New Mexico,18%,543,530,1073
32,New York,79%,531,533,1064
33,North Carolina,51%,554,546,1100
34,North Dakota,2%,627,636,1263
35,Ohio,19%,550,548,1097
36,Oklahoma,22%,490,472,963
37,Oregon,51%,562,550,1112
38,Pennsylvania,70%,545,537,1082
39,Puerto Rico,—,483,462,944
40,Rhode Island,100%,503,492,995
41,South Carolina,68%,526,504,1030
42,South Dakota,3%,633,635,1268
43,Tennessee,7%,618,602,1220
44,Texas,68%,515,507,1022
45,Utah,4%,614,615,1230
46,Vermont,66%,560,546,1106
47,Virgin Islands,—,490,445,935
48,Virginia,68%,567,551,1119
49,Washington,70%,539,535,1074
50,West Virginia,99%,483,460,943
51,Wisconsin,3%,635,648,1283
52,Wyoming,3%,623,615,1238
